# E (eV),Tr beamline
193.022326,0.915185
193.292332,0.908550
193.562339,0.902075
193.832346,0.911779
194.102353,0.910930
194.372359,0.897876
194.642366,0.885408
194.912373,0.837063
195.182380,0.765466
195.452386,0.752264
195.722393,0.719689
195.992400,0.648774
196.262407,0.639811
196.532413,0.670667
196.802420,0.667803
197.072427,0.667082
197.342434,0.690313
197.612440,0.680529
197.882447,0.656613
198.152454,0.659695
198.422461,0.632695
198.692467,0.562777
198.962474,0.564748
199.232481,0.580400
199.502488,0.546371
199.772494,0.544213
200.042501,0.583074
200.312508,0.569049
200.582515,0.500678
200.852521,0.518348
201.122528,0.538417
201.392535,0.517786
201.662542,0.572332
201.932548,0.611002
202.202555,0.615773
202.472562,0.664468
202.742569,0.705507
203.012575,0.702421
203.282582,0.670218
203.552589,0.687016
203.822596,0.687122
204.092602,0.628182
204.362609,0.627869
204.632616,0.647543
204.902623,0.630474
205.172629,0.628790
205.442636,0.648497
205.712643,0.655253
205.982650,0.682699
206.252656,0.725936
206.522663,0.730739
206.792670,0.746340
207.062677,0.778556
207.332683,0.794133
207.602690,0.799327
207.872697,0.807629
208.142704,0.810932
208.412710,0.802579
208.682717,0.809118
208.952724,0.781355
209.222731,0.689659
209.492737,0.666982
209.762744,0.718659
210.032751,0.743541
210.302758,0.710526
210.572764,0.726374
210.842771,0.787104
211.112778,0.806446
211.382785,0.804706
211.652791,0.818934
211.922798,0.816986
212.192805,0.785799
212.462812,0.784449
212.732818,0.799579
213.002825,0.764855
213.272832,0.731897
213.542839,0.746649
213.812845,0.793445
214.082852,0.790264
214.352859,0.787248
214.622866,0.812329
214.892872,0.845762
215.162879,0.836999
215.432886,0.785128
215.702893,0.722686
215.972899,0.722061
216.242906,0.704927
216.512913,0.648151
216.782920,0.672644
217.052926,0.684355
217.322933,0.617628
217.592940,0.581833
217.862947,0.639171
218.132953,0.682271
218.402960,0.655989
218.672967,0.613949
218.942974,0.647368
219.212980,0.677957
219.482987,0.624809
219.752994,0.578890
220.023001,0.610905
220.293007,0.557608
220.563014,0.418922
220.833021,0.423880
221.103028,0.486324
221.373034,0.485494
221.643041,0.433525
221.913048,0.477525
222.183055,0.559217
222.453061,0.612650
222.723068,0.607482
222.993075,0.619587
223.263082,0.640034
223.533088,0.649677
223.803095,0.654384
224.073102,0.668804
224.343109,0.676687
224.613115,0.655214
224.883122,0.639894
225.153129,0.653564
225.423136,0.682261
225.693142,0.643608
225.963149,0.571279
226.233156,0.562319
226.503163,0.586843
226.773169,0.629372
227.043176,0.635880
227.313183,0.624727
227.583190,0.631295
227.853196,0.690546
228.123203,0.734070
228.393210,0.736336
228.663217,0.735881
228.933223,0.737053
229.203230,0.736542
229.473237,0.738685
229.743244,0.736131
230.013250,0.708678
230.283257,0.677981
230.553264,0.678196
230.823271,0.681875
231.093277,0.673283
231.363284,0.602195
231.633291,0.589510
231.903298,0.598544
232.173304,0.643302
232.443311,0.662418
232.713318,0.624373
232.983325,0.552841
233.253331,0.576023
233.523338,0.611753
233.793345,0.601204
234.063352,0.597261
234.333358,0.630025
234.603365,0.624224
234.873372,0.612524
235.143379,0.629332
235.413385,0.657549
235.683392,0.630601
235.953399,0.591920
236.223406,0.560913
236.493412,0.575372
236.763419,0.614363
237.033426,0.607521
237.303433,0.547104
237.573439,0.540006
237.843446,0.580677
238.113453,0.587286
238.383460,0.560390
238.653466,0.596515
238.923473,0.651126
239.193480,0.669669
239.463487,0.662861
239.733493,0.691584
240.003500,0.735546
240.273507,0.756465
240.543514,0.756800
240.813520,0.763497
241.083527,0.786321
241.353534,0.799270
241.623541,0.796399
241.893547,0.792965
242.163554,0.809954
242.433561,0.825575
